Sport,Gender,Event,Athlete,Medal,Team
,,,,,
Football,M,Team Soccer,Eric Thornton,BRONZE,Great Britain
,,,,,
Football,M,Team Soccer,Henrik van Heuckelum,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,C van Hoorden,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Albert Delbecque,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Ernest Moreau de Melen,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Raul Kelcone,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Marcel Leboutte,BRONZE,Belgium
,,,,,
Football,M,Team Soccer,Léon Londot,BRONZE,Belgium
,,,,,
Golf,M,Individual Men,Charles Sands,GOLD,United States
,,,,,
Golf,M,Individual Men,Walter Rutherford,SILVER,Great Britain
,,,,,
Golf,M,Individual Men,David Robertson,BRONZE,Great Britain
,,,,,
Golf,F,Individual Women,Margaret Abbott,GOLD,United States
,,,,,
Golf,F,Individual Women,Polly Whittier,SILVER,United States
,,,,,
Golf,F,Individual Women,Daria Pratt,BRONZE,United States
,,,,,
Gymnastics,M,Individual All-around,Gustave Sandras,GOLD,France
,,,,,
Gymnastics,M,Individual All-around,Noël Bas,SILVER,France
,,,,,
Gymnastics,M,Individual All-around,Lucien Démanet,BRONZE,France
,,,,,
Basque Pelota,M,2-man Teams with Cesta,Amezola,GOLD,Spain
,,,,,
Basque Pelota,M,2-man Teams with Cesta,Villota,GOLD,Spain
,,,,,
Polo,M,Polo,John Beresford,GOLD,Great Britain
,,,,,
Polo,M,Polo,Denis Daly,GOLD,Great Britain
,,,,,
Polo,M,Polo,Foxhall Keene,GOLD,United States
,,,,,
Polo,M,Polo,Frank MacKey,GOLD,United States
,,,,,
Polo,M,Polo,Alfred Rawlinson,GOLD,Great Britain
,,,,,
Polo,M,Polo,Walter McCreery,SILVER,United States
,,,,,
Polo,M,Polo,Walter Buckmaster,SILVER,Great Britain
,,,,,
Polo,M,Polo,Jean de Madre,SILVER,France
,,,,,
Polo,M,Polo,Frederick Freake,SILVER,Great Britain
,,,,,
Polo,M,Polo,Frederick Gill,BRONZE,Great Britain
,,,,,
Polo,M,Polo,Robert Fournier-Sarloveze,BRONZE,France
,,,,,
Polo,M,Polo,Edouard Baron de Rothschild,BRONZE,France
,,,,,
Polo,M,Polo,Maurice Raoul-Duval,BRONZE,France
,,,,,
Polo,M,Polo,Eustaquio de Escandón,BRONZE,Mexico
,,,,,
Polo,M,Polo,Manuel de Escandón,BRONZE,Mexico
,,,,,
Polo,M,Polo,Pablo de Escandón,BRONZE,Mexico
,,,,,
Polo,M,Polo,Guillermo Wright,BRONZE,Mexico
,,,,,
Rowing,M,Single Sculls,Henri Barrelet,GOLD,France
,,,,,
Rowing,M,Single Sculls,André Gaudin,SILVER,France
,,,,,
Rowing,M,Single Sculls,St. George Ashe,BRONZE,Great Britain
,,,,,
Rowing,M,Coxed Pairs,Hermanus Brockmann,GOLD,Netherlands
,,,,,
Rowing,M,Coxed Pairs,Françoise Brandt,GOLD,Netherlands
,,,,,
Rowing,M,Coxed Pairs,Roelof Klein,GOLD,Netherlands
,,,,,
Rowing,M,Coxed Pairs,Louis Martinet,SILVER,France
,,,,,
Rowing,M,Coxed Pairs,René Waleff,SILVER,France
,,,,,
Rowing,M,Coxed Pairs,Erneste Védrenne,BRONZE,France
,,,,,
Rowing,M,Coxed Pairs,Raoul Paoli,BRONZE,France
,,,,,
Rowing,M,Coxed Pairs,Carlos Deltour,BRONZE,France
,,,,,
Rowing,M,Coxed Fours,Emile Delchambre,GOLD,France
,,,,,
Rowing,M,Coxed Fours,Charlot,GOLD,France
,,,,,
Rowing,M,Coxed Fours,Jean Cau,GOLD,France
,,,,,
Rowing,M,Coxed Fours,Henri Bouckaert,GOLD,France
,,,,,
Rowing,M,Coxed Fours,Henri Hazebroucq,GOLD,France
,,,,,
Rowing,M,Coxed Fours,Walther Katzenstein,GOLD,Germany
,,,,,
Rowing,M,Coxed Fours,Carl Goßler,GOLD,Germany
,,,,,
Rowing,M,Coxed Fours,Gustav Goßler,GOLD,Germany
,,,,,
Rowing,M,Coxed Fours,Oscar Goßler,GOLD,Germany
,,,,,
Rowing,M,Coxed Fours,Waldemar Tietgens,GOLD,Germany
,,,,,
Rowing,M,Coxed Fours,Georges Lumpp,SILVER,France
,,,,,
Rowing,M,Coxed Fours,Charles Perrin,SILVER,France
,,,,,
Rowing,M,Coxed Fours,Daniel Soubeyran,SILVER,France
,,,,,
Rowing,M,Coxed Fours,Emile Wegelin,SILVER,France
,,,,,
Rowing,M,Coxed Fours,Coenraad Hiebendaal,SILVER,Netherlands
,,,,,
Rowing,M,Coxed Fours,Hermanus Brockmann,SILVER,Netherlands
,,,,,
Rowing,M,Coxed Fours,Gerhard Lotsy,SILVER,Netherlands
,,,,,
Rowing,M,Coxed Fours,Paulus Lotsy,SILVER,Netherlands
,,,,,
Rowing,M,Coxed Fours,Johannes Terwogt,SILVER,Netherlands
,,,,,
Rowing,M,Coxed Fours,Max Ammermann,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Wilhelm Carstens,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Julius Körner,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Adolf Möller,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Hugo Rüster,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Hermann Wilker,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Ernst Felle,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Otto Fickeisen,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Carl Lehle,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Franz Kröwerath,BRONZE,Germany
,,,,,
Rowing,M,Coxed Fours,Gustav-Adolf Moths,BRONZE,Germany
,,,,,
Rowing,M,Coxed Eights,James Juvenal,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Louis Abell,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,William Carr,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,John Exley,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Harry DeBaecke,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Roscoe Lockwood,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Edward Marsh,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,John Geiger,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Edward Hedley,GOLD,United States
,,,,,
Rowing,M,Coxed Eights,Frank Odberg,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Marcel Lucien van Crombrugge,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Alfred Van Landeghem,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Maurice Hemelsoet,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Oscar Charles de Somville,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Jules De Bisschop,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Oscar De Cock,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Prospère Bruggeman,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Maurice Verdonck,SILVER,Belgium
,,,,,
Rowing,M,Coxed Eights,Walter Thijssen,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Henrikus Tromp,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Walter Middelberg,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Hendrik Offerhaus,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Hermanus Brockmann,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Françoise Brandt,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Roelof Klein,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Ruud Leegstra,BRONZE,Netherlands
,,,,,
Rowing,M,Coxed Eights,Johannes van Dijk,BRONZE,Netherlands
,,,,,
Rugby,M,Rugby,Emile Sarrade,GOLD,France
,,,,,
Rugby,M,Rugby,Joseph Olivier,GOLD,France
,,,,,
Rugby,M,Rugby,Albert Roosevelt,GOLD,France
,,,,,
Rugby,M,Rugby,Frantz Reichel,GOLD,France
,,,,,
Rugby,M,Rugby,André Rischmann,GOLD,France
,,,,,
Rugby,M,Rugby,Alexandre Pharamond,GOLD,France
,,,,,
Rugby,M,Rugby,Hubert Lefebvre,GOLD,France
,,,,,
Rugby,M,Rugby,Victor Larchandet,GOLD,France
,,,,,
Rugby,M,Rugby,Jean-Guy Gautier,GOLD,France
,,,,,
Rugby,M,Rugby,Auguste Giroux,GOLD,France
,,,,,
Rugby,M,Rugby,Constantin Henriquez,GOLD,France
,,,,,
Rugby,M,Rugby,Jean Hervé,GOLD,France
,,,,,
Rugby,M,Rugby,Charles Gondouin,GOLD,France
,,,,,
Rugby,M,Rugby,Jean Binoche,GOLD,France
,,,,,
Rugby,M,Rugby,Vladimir Aïtoff,GOLD,France
,,,,,
Rugby,M,Rugby,Albert Amrhein,GOLD,France
,,,,,
Rugby,M,Rugby,Jean Collas,GOLD,France
,,,,,
Rugby,M,Rugby,Arnold Landvoigt,SILVER,Germany
,,,,,
Rugby,M,Rugby,Hans Latscha,SILVER,Germany
,,,,,
Rugby,M,Rugby,Hermann Kreuzer,SILVER,Germany
,,,,,
Rugby,M,Rugby,Erich Ludwig,SILVER,Germany
,,,,,
Rugby,M,Rugby,Richard Ludwig,SILVER,Germany
,,,,,
Rugby,M,Rugby,Fritz Müller,SILVER,Germany
,,,,,
Rugby,M,Rugby,Adolf Stockhausen,SILVER,Germany
,,,,,
Rugby,M,Rugby,August Schmierer,SILVER,Germany
,,,,,
Rugby,M,Rugby,Eduard Poppe,SILVER,Germany
,,,,,
Rugby,M,Rugby,Heinrich Reitz,SILVER,Germany
,,,,,
Rugby,M,Rugby,Albert Amrhein,SILVER,Germany
,,,,,
Rugby,M,Rugby,Hugo Betting,SILVER,Germany
,,,,,
Rugby,M,Rugby,Jacob Herrmann,SILVER,Germany
,,,,,
Rugby,M,Rugby,Willy Hofmeister,SILVER,Germany
,,,,,
Rugby,M,Rugby,Georg Wenderoth,SILVER,Germany
,,,,,
Rugby,M,Rugby,F C Baylis,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Henry Birtles,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,James Cantion,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Clement P Deykin,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Arthur Darby,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,M W Talbott,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,V Smith,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Herbert S Nicol,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,M L Logan,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Herbert A Loveitt,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,L Hood,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Claude Whittindale,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Raymond Whittindale,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Joseph G Wallis,BRONZE,Great Britain
,,,,,
Rugby,M,Rugby,Frank H Wilson,BRONZE,Great Britain
,,,,,
Sailing,M,Open Class,John Gretton,GOLD,Great Britain
,,,,,
Sailing,M,Open Class,Linton Hope,GOLD,Great Britain
,,,,,
Sailing,M,Open Class,Algernon Maudslay,GOLD,Great Britain
,,,,,
Sailing,M,Open Class,Lorne Currie,GOLD,Great Britain
,,,,,
Sailing,M,Open Class,Heinrich Peters,SILVER,Germany
,,,,,
Sailing,M,Open Class,Georg Naue,SILVER,Germany
,,,,,
Sailing,M,Open Class,Arthur Bloomfeld,SILVER,Germany
,,,,,
Sailing,M,Open Class,Ottokar Weise,SILVER,Germany
,,,,,
Sailing,M,Open Class,Paul Martin Wiesner,SILVER,Germany
,,,,,
Sailing,M,Open Class,Camille Émile Gaston Michelet,BRONZE,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Pierre Gervais,GOLD,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Robert Linzeler,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Texier,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Texier II,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Jean-Baptiste Charcot,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Henri Monnot,BRONZE,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Gaston Cailleux,BRONZE,France
,,,,,
Sailing,M,_ Ton Class - Race 1,Léon Tellier,BRONZE,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Émile Sacré,GOLD,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Robert Linzeler,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Texier I,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Texier II,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Jean-Baptiste Charcot,SILVER,France
,,,,,
Sailing,M,_ Ton Class - Race 2,Pierre Gervais,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - I,Louis Auguste-Dormeuil,GOLD,France
,,,,,
Sailing,M,_-1 Ton Class - I,Marcel Meran,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - I,Émile Michelet,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - I,Marcel Meran,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - I,E Michelet,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - II,Algernon Maudslay,GOLD,Great Britain
,,,,,
Sailing,M,_-1 Ton Class - II,John Gretton,GOLD,Great Britain
,,,,,
Sailing,M,_-1 Ton Class - II,Lorne Currie,GOLD,Great Britain
,,,,,
Sailing,M,_-1 Ton Class - II,Linton Hope,GOLD,Great Britain
,,,,,
Sailing,M,_-1 Ton Class - II,William Martin,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jean Le Bret,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jacques Baudrier,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - II,Félix Marcotte,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jules Valton,SILVER,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jules Valton,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jacques Baudrier,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - II,Jean Le Bret,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - II,Félix Marcotte,BRONZE,France
,,,,,
Sailing,M,_-1 Ton Class - II,William Martin,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Bernard de Pourtalès,GOLD,Switzerland
,,,,,
Sailing,F,1-2 Ton Class - Race 1,Helene de Pourtalès,GOLD,Switzerland
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Hermann de Pourtalès,GOLD,Switzerland
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Francois Vilamitjana,SILVER,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Auguste Albert,SILVER,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Charles Hugo,SILVER,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Albert Duval,SILVER,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Edouard Mantois,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Jacques Baudrier,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Lucien Baudrier,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 1,Dubosq,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Ottokar Weise,GOLD,Germany
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Paul Martin Wiesner,GOLD,Germany
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Georg Naue,GOLD,Germany
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Heinrich Peter,GOLD,Germany
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Hermann de Pourtalès,SILVER,Switzerland
,,,,,
Sailing,F,1-2 Ton Class - Race 2,Helene de Pourtalès,SILVER,Switzerland
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Bernard de Pourtalès,SILVER,Switzerland
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Auguste Albert,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Charles Hugo,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Duval,BRONZE,France
,,,,,
Sailing,M,1-2 Ton Class - Race 2,Francois Vilamitjana,BRONZE,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Jacques le Lavasseur,GOLD,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Frederic Blanchy,GOLD,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,William Exshaw,GOLD,Great Britain
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Jacques Doucet,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Auguste Godinet,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Henri Mialaret,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Léon Susse,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Ferdinand Schlatter,BRONZE,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,Emile Jean-Fontaine,BRONZE,France
,,,,,
Sailing,M,2-3 Ton Class - Race 1,de Cottignon,BRONZE,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Frederic Blanchy,GOLD,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Jacques le Lavasseur,GOLD,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,William Exshaw,GOLD,Great Britain
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Jacques Doucet,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Auguste Godinet,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Henri Mialaret,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Léon Susse,SILVER,France
,,,,,
Sailing,M,2-3 Ton Class - Race 2,Auguste Donny,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Henri Gilardon,GOLD,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Henri Smulders,SILVER,Netherlands
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Chris Hooykaas,SILVER,Netherlands
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Arie van der Velden,SILVER,Netherlands
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Maurice Gufflet,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,A. Dubois,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,J. Dubois,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Robert Gufflet,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 1,Charles Guiraist,BRONZE,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Harry N. Jefferson,GOLD,Great Britain
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Howard Taylor,GOLD,Great Britain
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Edward Hore,GOLD,Great Britain
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Maurice Gufflet,SILVER,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Robert Gufflet,SILVER,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,Charles Guiraist,SILVER,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,A. Dubois,SILVER,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,J. Dubois,SILVER,France
,,,,,
Sailing,M,3-10 Ton Class - Race 2,H. MacHenry,BRONZE,United States
,,,,,
Sailing,M,10-20 Ton Class,Emile Billard,GOLD,France
,,,,,
Sailing,M,10-20 Ton Class,Paul Perquer,GOLD,France
,,,,,
Sailing,M,10-20 Ton Class,Jean Decazes,SILVER,France
,,,,,
Sailing,M,10-20 Ton Class,Edward Hore,BRONZE,Great Britain
,,,,,
Sailing,M,20+ Ton Class,Cecil Quentin,GOLD,Great Britain
,,,,,
Sailing,M,20+ Ton Class,John Selwin Calverley,SILVER,Great Britain
,,,,,
Sailing,M,20+ Ton Class,Harry van Bergen,BRONZE,United States
,,,,,
Shooting,M,25m Rapid-Fire Pistol,Maurice Larrouy,GOLD,France
,,,,,
Shooting,M,25m Rapid-Fire Pistol,Léon Moreaux,SILVER,France
,,,,,
Shooting,M,25m Rapid-Fire Pistol,Eugène Balme,BRONZE,France
,,,,,
Shooting,M,50m Free Pistol,Conrad Röderer,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol,Achille Paroche,SILVER,France
,,,,,
Shooting,M,50m Free Pistol,Konrad Stäheli,BRONZE,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Konrad Stäheli,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Friedrich Lüthi,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Paul Probst,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Louis Richardet,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Conrad Röderer,GOLD,Switzerland
,,,,,
Shooting,M,50m Free Pistol Team,Louis Duffoy,SILVER,France
,,,,,
Shooting,M,50m Free Pistol Team,Maurice Lecoq,SILVER,France
,,,,,
Shooting,M,50m Free Pistol Team,Léon Moreaux,SILVER,France
,,,,,
Shooting,M,50m Free Pistol Team,Achille Paroche,SILVER,France
,,,,,
Shooting,M,50m Free Pistol Team,Jules Trinité,SILVER,France
,,,,,
Shooting,M,50m Free Pistol Team,Dirk boest Gips,BRONZE,Netherlands
,,,,,
Shooting,M,50m Free Pistol Team,Antonius Bouwens,BRONZE,Netherlands
,,,,,
Shooting,M,50m Free Pistol Team,Henrik Sillem,BRONZE,Netherlands
,,,,,
Shooting,M,50m Free Pistol Team,Anthony Sweijs,BRONZE,Netherlands
,,,,,
Shooting,M,50m Free Pistol Team,Solko van den Bergh,BRONZE,Netherlands
,,,,,
Shooting,M,300m Free Rifle Kneeling,Konrad Stäheli,GOLD,Switzerland
,,,,,
Shooting,M,300m Free Rifle Kneeling,Emil Kellenberger,SILVER,Switzerland
,,,,,
Shooting,M,300m Free Rifle Kneeling,Anders Nielsen,SILVER,Denmark
,,,,,
Shooting,M,300m Free Rifle Prone,Achille Paroche,GOLD,France
,,,,,
Shooting,M,300m Free Rifle Prone,Anders Nielsen,SILVER,Denmark
,,,,,
Shooting,M,300m Free Rifle Prone,Ole Østmo,BRONZE,Norway
,,,,,
Shooting,M,300m Free Rifle Standing,Lars Jørg Madsen,GOLD,Denmark
,,,,,
Shooting,M,300m Free Rifle Standing,Ole Østmo,SILVER,Norway
,,,,,
Shooting,M,300m Free Rifle Standing,Charles Paumier du Verger,BRONZE,Belgium
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Emil Kellenberger,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Anders Nielsen,SILVER,Denmark
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Paul van Asbroeck,BRONZE,Belgium
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions",Ole Østmo,BRONZE,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Emil Kellenberger,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Franz Böckli,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Konrad Stäheli,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Louis Richardet,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Alfred Grütter,GOLD,Switzerland
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Ole Østmo,SILVER,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Ole Sæther,SILVER,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Tom Seeberg,SILVER,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Olaf Frydenlund,SILVER,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Helmer Hermandsen,SILVER,Norway
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Achille Paroche,BRONZE,France
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Léon Moreaux,BRONZE,France
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",René Thomas,BRONZE,France
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Maurice Lecoq,BRONZE,France
,,,,,
Shooting,M,"300m Free Rifle, 3 Positions Team",Auguste Cavadini,BRONZE,France
,,,,,
Shooting,M,Trap,Roger de Barbarin,GOLD,France
,,,,,
Shooting,M,Trap,René Guyot,SILVER,France
,,,,,
Shooting,M,Trap,Justinien Comte de Clary,BRONZE,France
,,,,,
Swimming,M,200m Freestyle,Freddie Lane,GOLD,Australia
,,,,,
Swimming,M,200m Freestyle,Zoltán von Halmay,SILVER,Hungary
,,,,,
Swimming,M,200m Freestyle,Karl Ruberl,BRONZE,Austria
,,,,,
Swimming,M,1000m Freestyle,John Jarvis,GOLD,Great Britain
,,,,,
Swimming,M,1000m Freestyle,Otto Wahle,SILVER,Austria
,,,,,
Swimming,M,1000m Freestyle,Zoltán von Halmay,BRONZE,Hungary
,,,,,
Swimming,M,4000m Freestyle,John Jarvis,GOLD,Great Britain
,,,,,
Swimming,M,4000m Freestyle,Zoltán von Halmay,SILVER,Hungary
,,,,,
Swimming,M,4000m Freestyle,Louis Martin,BRONZE,France
,,,,,
Swimming,M,200m Backstroke,Ernst Hoppenberg,GOLD,Germany
,,,,,
Swimming,M,200m Backstroke,Karl Ruberl,SILVER,Austria
,,,,,
Swimming,M,200m Backstroke,Johannes Drost,BRONZE,Netherlands
,,,,,
Swimming,M,200m Team Swimming,Ernst Hoppenberg,GOLD,Germany
,,,,,
Swimming,M,200m Team Swimming,Max Hainle,GOLD,Germany
,,,,,
Swimming,M,200m Team Swimming,Julius Frey,GOLD,Germany
,,,,,
Swimming,M,200m Team Swimming,Max Schöne,GOLD,Germany
,,,,,
Swimming,M,200m Team Swimming,Herbert von Petersdorff,GOLD,Germany
,,,,,
Swimming,M,200m Team Swimming,Maurice Hochepied,SILVER,France
,,,,,
Swimming,M,200m Team Swimming,Victor Hochepied,SILVER,France
,,,,,
Swimming,M,200m Team Swimming,Victor Cadet,SILVER,France
,,,,,
Swimming,M,200m Team Swimming,J Bertrand,SILVER,France
,,,,,
Swimming,M,200m Team Swimming,Jules Verbecke,SILVER,France
,,,,,
Swimming,M,200m Team Swimming,Désiré Merchez,BRONZE,France
,,,,,
Swimming,M,200m Team Swimming,Rene Tartara,BRONZE,France
,,,,,
Swimming,M,200m Team Swimming,Houben,BRONZE,France
